"reaction id" "stoichiometry" "is reversible" "catalyzed by"
"R1"	{"A": -1, "ATP": -1, "B": 1}	true	["R1"]
"R2a"	{"B": -1, "ATP": 2, "NADH": 2, "C": 1}	true	["R2a"]
"R2b"	{"B": 1, "ATP": -2, "NADH": -2, "C": -1}	true	["R2b"]
"R3"	{"B": -1, "F": 1}	true	["R3"]
"R4"	{"C": -1, "G": 1}	true	["R4"]
"R5a"	{"G": -1, "C": 0.8, "NADH": 2}	true	["R5a"]
"R5b"	{"G": -1, "C": 0.8, "NADH": 2}	true	["R5b"]
"R6"	{"C": -1, "ATP": 2, "D": 3}	true	["R6"]
"R7"	{"C": -1, "NADH": -4, "E": 3}	true	["R7"]
"R8a"	{"G": -1, "ATP": -1, "NADH": -2, "H": 1}	true	["R8a"]
"R8b"	{"G": 1, "ATP": 1, "NADH": 2, "H": -1}	true	["R8b"]
"Rres"	{"NADH": -1, "O2": -1, "ATP": 1}	true	["Rres"]
"Tc1"	{"Carbon1": -1, "A": 1}	true	["Tc1"]
"Tc2"	{"Carbon2": -1, "A": 1}	true	["Tc2"]
"Tf"	{"Fext": -1, "F": 1}	true	["Tf"]
"Td"	{"D": -1, "Dext": 1}	true	["Td"]
"Te"	{"E": -1, "Eext": 1}	true	["Te"]
"Th"	{"Hext": -1, "H": 1}	true	["Th"]
"To2"	{"Oxygen": -1, "O2": 1}	true	["To2"]
"Growth"	{"C": -1, "F": -1, "H": -1, "ATP": -10, "Biomass": 1}	true	["Growth"]
